sample	file	condition	treatment	replicate	do_dots	do_tads
#BPTF-WT-1	../distiller/results/coolers_library/BPTF-WT-1.mm10.mapq_30.1000.mcool	BPTF	wt	1	false	false
#BPTF-KO-1	../distiller/results/coolers_library/BPTF-KO-1.mm10.mapq_30.1000.mcool	BPTF	ko	1	false	false
#BPTF-WT-2	../distiller/results/coolers_library/BPTF-WT-2.mm10.mapq_30.1000.mcool	BPTF	wt	2	false	false
#BPTF-KO-2	../distiller/results/coolers_library/BPTF-KO-2.mm10.mapq_30.1000.mcool	BPTF	ko	2	false	false
BPTF-WT	../distiller/results/coolers_library_group/BPTF-WT.mm10.mapq_30.1000.mcool	BPTF	wt	merged	false	true
BPTF-KO	../distiller/results/coolers_library_group/BPTF-KO.mm10.mapq_30.1000.mcool	BPTF	ko	merged	false	true
#SNF2H-WT-1	../distiller/results/coolers_library/SNF2H-WT-1.mm10.mapq_30.1000.mcool	SNF2H	wt	1	false	false
#SNF2H-WT-2	../distiller/results/coolers_library/SNF2H-WT-2.mm10.mapq_30.1000.mcool	SNF2H	wt	2	false	false
#SNF2H-KO-1	../distiller/results/coolers_library/SNF2H-KO-1.mm10.mapq_30.1000.mcool	SNF2H	ko	1	false	false
#SNF2H-KO-2	../distiller/results/coolers_library/SNF2H-KO-2.mm10.mapq_30.1000.mcool	SNF2H	ko	2	false	false
SNF2H-WT	../distiller/results/coolers_library_group/SNF2H-WT.mm10.mapq_30.1000.mcool	SNF2H	wt	merged	false	true
SNF2H-KO	../distiller/results/coolers_library_group/SNF2H-KO.mm10.mapq_30.1000.mcool	SNF2H	ko	merged	false	true
#Nora_CTCF-UT-1	../distiller/results/coolers_library/Nora_CTCF-UT-1.mm10.mapq_30.1000.mcool	CTCF	wt	1	false	false
#Nora_CTCF-UT-2	../distiller/results/coolers_library/Nora_CTCF-UT-2.mm10.mapq_30.1000.mcool	CTCF	wt	2	false	false
#Nora_CTCF-AUX-1	../distiller/results/coolers_library/Nora_CTCF-AUX-1.mm10.mapq_30.1000.mcool	CTCF	ko	1	false	false
#Nora_CTCF-AUX-2	../distiller/results/coolers_library/Nora_CTCF-AUX-2.mm10.mapq_30.1000.mcool	CTCF	ko	2	false	false
Nora_CTCF-UT	../distiller/results/coolers_library_group/Nora_CTCF-UT.mm10.mapq_30.1000.mcool	CTCF	wt	wt	false	true
Nora_CTCF-AUX	../distiller/results/coolers_library_group/Nora_CTCF-AUX.mm10.mapq_30.1000.mcool	CTCF	ko	ko	false	true
Mach_RAD21-UT	../distiller/results/coolers_library_group/Mach_RAD21-UT.mm10.mapq_30.1000.mcool	RAD21	wt	wt	false	false
Mach_RAD21-AUX	../distiller/results/coolers_library_group/Mach_RAD21-AUX.mm10.mapq_30.1000.mcool	RAD21	ko	ko	false	false
Bonev_ES	./inputs/coolers/Bonev_ES.mm10.mapq_3.1000.mcool	wt	wt	merged	true	true